name;rema1000;fakta;meny;irma;netto;fotex;rema1000_eco;fakta_eco;meny_eco;irma_eco;netto_eco;fotex_eco
Skivet rugbrød 500 g;5.95;6.75;7.75;8.95;6.5;6.5;8.33;8.33;8.33;16.95;10;16.5
Hakket oksekød 500g 4-18% (ikke frost);26;33.95;29;19.975;28.95;28.95;46.25;42.5;53.75;47.4375;42.44;46.61
Kyllingebrystfillet tilsat lage 450 g;25;28.95;27.5;41.95;28.95;28.95;140;120;27.5;150;28.95;149.9
Skiveskåret skinke 150g;8.94;9;9;39.9;8.95;8.95;8.94;9;9;39.9;39.9;8.95
Dåsetomater hakkede 400 g;4.15;3.75;6;4.5;4.95;4.5;4.15;4.15;6.5;4.5;4.95;4.95
Minimælk 1 liter;8.95;8.95;9.5;9.5;9.95;9.5;10.5;11.5;11.50;12.5;11.5;11.5
Æg M/L 10 stk;15.6;10;12;31.75;19.95;19.95;28;23;27.25;31.75;22;28
Smørtbart blandingsprodukt 250g;12.95;13.95;12.50;17.95;13.95;13.95;25;25;25;24.5;24.95;24.95
Yoghurt naturel/A38 1 liter;10.5;10.5;12.75;11.95;11.5;11.5;11.75;11.75;12.75;17.95;12.5;12.75
Leverpostej 500g;9.95;9.95;16.6;32.375;9.95;9.95;30;32.5;36.36;32.375;29.9;36.275
Æbler 1.5 kg;22;16.5;25;25.5;22;22;34.5;33;45;45;36.5;37.5
Tomater 500 gram;14;10;20;17.5;12;12;15;15;24;17.5;16;20
Agurk;6;6;9;10;6;8;8;8;10;10;8;8
Løg 1 kg;9;9;10;14;9;9;12;12;13.33;14;12;12
Kartofler Danske 2kg;15;15;10;34;15;15;22;22;22;34;22;22
Gulerødder 1 kg. ;8;11;11;12;8;8;11;11;11;12;11;11
Havregryn Finvalsede 1 kg. ;9.5;8.95;9.5;10.5;9.5;9.5;18.95;10;18;10.5;10.5;10.5
Hvedemel 2 kg.;7.75;6.95;7.75;14.95;7.75;7.75;13.5;15.5;13.5;14.95;13.5;13.5
Spaghetti 1 kg.;6.5;6.5;7.95;13;7.95;7.95;10.5;13;25;13;10.5;10.5
Sukker 1 kg.;7.48;7.46;7.45;7.48;9.5;7.5;14.95;14.95;14.95;19.95;14.95;22.5
Ris Jasmin eller Basmati 1kg.;13.95;14.5;14.95;17.95;12;16.5;19.95;19.95;25.95;24.95;19.95;19.95
Appelsinjuice 1.5 liter;7.5;11;10.95;11.925;10.95;10.95;12;12;12;11.925;11.9;11.925
Kaffe 400 gram;17.95;14;23;40;34.95;19.95;30.94;30.95;42;40.8;36.5;29.33333333
Tebreve 20 stk. ;8.4;1.8;10.95;9.25;7.25;1.8;8.4;8.45;20;9.25;7.25;7.5
Bananer 5 stk.;10;11.6;15;14.15;12.5;10;12;11.6;15;14.15;12.5;10
Universalrengøring 1 liter;6.5;6.45;6.4;17.5;6.8;6.75;6.5;6.45;6.4;17.5;6.8;6.75
Toiletpapir 10 stk. ;11.4;11.25;17.5;27.5;10.25;10.25;11.4;11.25;17.5;27.5;10.25;10.25
Tandpasta 125ml ;3.5;3.5;3.5;32.5;3.5;3.5;3.5;3.5;3.6;32.5;3.5;3.5
Flydende Håndsæbe 500 ml;4.25;4.25;8;14.5;4.25;13.5;4.25;4.25;8;27.5;4.25;13.5
Coca Cola 1.5 liter;15;12;12;17;12;15;15;12;12;17;12;15
Tun i Olie 140g ;9.95;8.25;9.95;16.95;9.95;9.95;9.95;8.25;9.95;16.95;9.95;9.95